name,enabled,n_phases,n_conds,base_freq,terminal1,kv,kw,kvar,kva,pf,model,vmin_pu,vmax_pu,r_neut,x_neut,connection,spec_type,status,yearly,daily,duty,spectrum
res_10549286-s-b,true,1,2,60,ld_10549286.2,0.24,15.08679258025264,3.781106636331938,6.3890052631579,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_B,,,defaultload
res_10548961-s-b,true,1,2,60,ld_10548961.2,0.24,5.966436212143161,1.4953298679611,2.526686315789475,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_B,,,defaultload
res_10528321-s-b,true,1,2,60,ld_10528321.2,0.24,11.36364602550737,2.847998152782547,4.812314736842105,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_B,,,defaultload
res_34097393-s-c,true,1,2,60,ld_34097393.3,0.24,6.995638155060001,1.753272189086551,2.97010052631579,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_C,,,defaultload
res_34086383-s-c,true,1,2,60,ld_34086383.3,0.24,10.25698898844,2.570643755236452,4.354754736842106,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_C,,,defaultload
res_10560338-s-b,true,1,2,60,ld_10560338.2,0.24,17.08228525103161,4.281224241853346,7.23406315789475,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_B,,,defaultload
res_10549276-s-a,true,1,2,60,ld_10549276.1,0.24,16.51089586661057,4.138020563412648,7.036021052631601,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_A,,,defaultload
res_10548953-s-a,true,1,2,60,ld_10548953.1,0.24,15.30818931334736,3.836593888000152,6.523494736842101,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_A,,,defaultload
res_34096116-s-b,true,1,2,60,ld_34096116.2,0.24,3.893862275717897,0.9758938762736651,1.648985789473685,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_B,,,defaultload
res_10559735-s-c,true,1,2,60,ld_10559735.3,0.24,0.2873903777999995,0.07202681808854854,0.122015789473684,0.97,cvr,0.85,1.15,-1,0,wye,allocation_factor,variable,K21_C,,,defaultload
