name,x,y
trans_equiv,0,0
k_lsb,0,0
k21,2637962.769,623062.072
k22,0,0
34097296,2642350.062,635881.961
10559391,2642462.572,636252.1949999999
10558484,2642844.16,630053.66
10558483,2642595.26,629679.5870000001
10548932,2643052.129,628989.977
10549227,2643156.934,629022.9570000001
10548918,2641642.238,627650.988
10548919,2641825.596,627873.578
34092234,2648124.265,630261.329
34092313,2648341.075,630215.509
34095660,2643026.13,625561.7169999999
34085491,2643005.589,625312.9399999999
34057797,2640882.379,630321.078
34054972,2641079.536,630247.995
10548007,2644925.417,626404.186
10579832,2644944.746,626420.454
34086311,2642982.637,634267.077
10559275,2642813.35,634535.241
10558476,2641513.224,632142.865
10558475,2641518.091,632169.303
10549222,2643373.776,627457.659
10549221,2643259.976,627285.1949999999
10548912,2639178.547,624995.792
10548913,2639460.215,625303.8810000001
10559587,2643897.057,626264.603
34091314,2643906.263,626256.198
34085954,2645901.19,628585.472
34085468,2647165.388,629736.0699999999
20344367,2640564.804,630686.1
34054966,2640581.616,630707.997
10558517,2645866.772,633299.603
10558958,2645844.647,633308.5110000001
10557802,2638556.678,624520.058
10557182,2638708.646,624488.752
20079696,2643003.841,626460.324
10549020,2642707.559,626356.446
34095590,2639086.243,625101.662
10548907,2639422.237,625467.042
10548965,2639733.231,625477.258
34090005,2639746.404,625475.72
10548983,2639405.194,624843.581
34085372,2639420.616,624835.0429999999
20416460,2641153.281,627810.698
34054542,2640944.896,627963.708
20396671,2641547.451,631828.091
10579447,2641550.273,631855.937
10558520,2648055.571,634630.042
10558583,2648053.419,634653.828
34091315,2642274.242,626071.802
10555985,2641992.56,626433.093
10549011,2642808.629,624771.795
10549010,2642845.708,624728.923
34084951,2644805.617,626574.926
10558471,2642268.269,630380.444
34087255,2642255.292,630387.334
10549294,2645320.201,625861.075
34085341,2645327.317,625850.857
34086019,2649635.973,626346.873
20437313,2650260.612,626015.773
34085040,2648374.52,626817.448
10579118,2648789.077,626782.215
34086404,2646472.764,635548.008
10558577,2646172.627,635601.291
10579019,2646413.895,626409.35
10549426,2646430.038,626367.083
10548987,2639513.128,624185.801
10548988,2639749.483,624155.047
10540779,2643088.703,626480.321
10543795,2643357.504,626516.089
10558563,2644730.141,631027.1310000001
34086801,2645086.778,630932.6459999999
10549229,2643850.575,629123.336
34085286,2643847.934,629108.443
34095644,2641426.531,627648.258
20396847,2641408.873,627664.157
10574852,2646945.26,635156.86
10574854,2646816.436,635155.0379999999
34086415,2644613.119,631855.071
10558570,2643810.149,632127.686
10549217,2642982.074,624992.946
10549307,2643005.273,625002.76
10548982,2639532.496,624644.784
10549220,2643045.551,626475.808
34086011,2650886.656,625560.6090000001
40152453,2650986.116,625635.5820000001
20344371,2640133.917,630268.625
34086794,2639993.809,630262.022
10549289,2645525.504,626560.382
34085048,2645458.1,626339.997
34084593,2639759.208,624338.937
20350796,2639697.892,624536.4790000001
10573493,2645298.963,625815.42
10573492,2645244.658,625721.309
10558560,2644568.192,631075.161
10558564,2644591.769,631066.754
10549274,2646139.684,626272.735
10549291,2646154.344,626233.0550000001
10548967,2643069.359,625726.346
10548968,2643164.885,625775.225
10561915,2646284.71,634019.785
10532911,2645703.29,634051.723
34086302,2647413.187,635166.943
34097398,2647199.774,635162.885
34086403,2645957.109,633464.8639999999
34085321,2648797.278,626774.2389999999
34085042,2649069.058,626632.074
34055522,2641409.876,629992.691
20344333,2641155.139,629702.208
34086799,2643320.963,630652.544
10560618,2643206.806,630422.221
10558559,2644647.043,630870.692
10558558,2644671.479,630853.708
10549285,2646227.261,626037.916
34085480,2639567.995,625608.366
10548960,2639548.945,625631.081
10558524,2646064.366,632654.938
10526890,2646156.376,632805.097
34086805,2648732.225,630168.571
34097392,2649108.468,630146.0870000001
10524061,2645288.16,635652.603
34086382,2645057.8,635626.298
34085037,2646755.038,626552.5
34085036,2647035.594,626686.528
34086405,2643037.843,630785.644
20251419,2642882.434,630861.135
34095649,2641178.734,625162.1409999999
10560337,2641339.614,625297.847
10558549,2643805.392,630084.238
10558551,2643788.703,630226.154
34085035,2645972.4,626195.5550000001
10548909,2640115.794,626224.5060000001
10548952,2640106.277,626254.263
34086401,2645571.865,635691.563
34096115,2644756.213,631315.808
10558469,2642887.07,630063.465
34086318,2642876.747,630068.404
10579841,2644763.141,626560.906
34084954,2644605.707,626504.539
34085342,2643056.784,626315.2070000001
20079698,2643004.962,626396.954
34084666,2641050.854,624761.925
10559617,2641169.117,624678
10558543,2645381.9,632850.929
10558545,2645444.817,632973.406
10549262,2643419.752,627614.755
10549263,2643403.705,627657.379
10548946,2641845.604,627858.403
34085262,2646643.191,625291.089
34095665,2646817.468,625321.534
10559090,2645053.013,633602.485
34086306,2644905.84,633665.678
34095650,2641193.281,624753.069
34084664,2641397.698,624897.711
10548934,2642756.392,628801.277
20014991,2642747.862,628610.53
10559590,2643580.854,626575.531
10558515,2645623.227,632807.868
10558525,2645792.767,632753.049
34095666,2644516.723,628196.9620000001
10549255,2645184.252,628406.797
34095581,2642692.818,627292.387
10548940,2642085.867,627211.044
10549219,2643063.44,626304.666
34095659,2643045.305,626004.456
10558522,2649103.515,634967.309
34086300,2649115.261,634971.584
34084602,2639070.081,624363.432
34084601,2639182.648,624320.077
10578709,2647127.027,628199.934
10580378,2647073.788,628480.278
34086007,2644096.602,629671.017
10559515,2644186.948,629876.781
10558518,2646079.664,633679.437
10549247,2643725.444,628386.671
10549248,2643518.45,628398.666
34090007,2642666.339,628375.47
10548933,2642647.115,628282.113
10560281,2641168.673,625150.36
34095668,2643702.492,625372.054
34086016,2643872.708,625566.706
34054973,2640901.214,630555.8689999999
10579976,2644844.828,635542.581
10579978,2644753.341,635296.505
10559399,2642299.807,635338.639
10559400,2642273.527,635341.101
10558510,2644036.742,630279.532
10558511,2644135.629,630581.01
10549243,2643561.015,628979.964
10549241,2643562.301,628964.215
20396846,2642441.2,628743.644
10548927,2642270.658,628692.615
10548906,2638895.575,624889.258
10559558,2644016.783,629506.307
34054980,2641609.132,629698.8050000001
34054979,2641887.399,629932.13
10549292,2644998.938,626300.834
10579844,2644990.829,626277.5060000001
10559267,2644056.977,634061.927
10559392,2643750.988,633995.856
10549228,2643553.107,629145.0699999999
34085402,2642331.878,628402.02
10548920,2642631.41,628706.594
34086319,2642247.565,634450.863
34095281,2641965.938,634375.249
10545431,2644008.719,626736.16
34085492,2644161.421,626783.907
20344331,2640949.63,630130.563
34084956,2644819.515,626222.849
10579833,2644652.49,626203.295
10559385,2643960.65,634343.436
10558473,2641434.642,632094.6040000001
34085488,2643434.095,627587.6850000001
34090004,2639468.067,625315.247
10548914,2639627.96,625484.778
10549018,2642279.098,626083.277
10548931,2642948.185,628958.737
34085479,2643029.511,628981.314
34054968,2640748.008,630867.13
34054967,2640596.988,630736.95
10559040,2645622.028,633392.948
10572565,2638283.512,624498.3320000001
34095591,2639884.346,625967.505
10548908,2639893.282,625977.774
34095589,2642670.722,628386.981
34085313,2647490.393,626874.424
34085401,2647502.261,626872.639
20344327,2641781.481,630510.204
34054927,2641783.658,630453.411
10579827,2644156.441,626807.9
10558584,2648023.542,634874.262
10556735,2649154.532,626850.99
10549216,2642910.151,624893.116
10548901,2639295.633,624277.848
20028683,2641856.032,630578.858
34087256,2641693.628,630652.1139999999
20437314,2650311.909,626093.942
10549433,2648010.006,626842.423
10579185,2648162.732,627025.399
10558578,2646443.374,635497.5820000001
34086013,2646659.187,626511.197
10549431,2646671.011,626487.916
34084592,2639761.797,624151.946
10548989,2639761.495,624325.567
34085311,2643556.856,626604.4129999999
10544883,2643792.813,626675.312
34086802,2645415.304,634389.591
34095661,2643545.915,626598.411
20396849,2641384.749,627686.274
34085044,2647493.927,627551.111
34086400,2648729.08,635049.813
10558571,2648404.251,635128.796
10549309,2643255.619,625098.147
34090001,2639275.898,624899.0699999999
34085952,2644050.378,628122.027
10541616,2644344.407,628139.818
40154810,2651421.905,625524.679
10543079,2641529.213,631424.865
34086796,2641537.067,631628.304
34085260,2647059.384,625417.83
10558566,2645081.804,631509.223
10558565,2645260.78,631493.339
10548976,2638869.766,624891.279
20344324,2641498.262,630748.147
10536946,2641499.938,630770.243
40014844,2644153.195,630604.574
40013213,2644111.567,630622.314
10558576,2646484.996,635545.546
10549288,2647491.149,626917.777
34085043,2647499.483,627286.528
34054976,2641413.264,629655.312
20344334,2641770.83,629786.927
10553426,2646309.033,634011.9449999999
10558561,2644453.026,630910.228
10549286,2646491.149,626196.25
10548961,2639269.257,625862.331
34086018,2644046.027,625309.709
10528321,2644299.29,625247.383
10523041,2649536.877,630350.735
34097393,2649451.348,630456.379
10558580,2646023.706,635111.097
34086383,2645892.091,634982.258
10560338,2640925.576,625414.745
34086381,2643785.347,630234.537
10558552,2643590.366,629992.338
34085312,2646423.788,626413.611
10549276,2646570.316,626471.944
10548953,2640040.367,626541.709
10524153,2644851.293,635597.623
34096116,2644145.879,630593.639
10559487,2642259.807,634453.287
10549293,2645088.663,626181.3199999999
34084955,2645096.247,626171.428
20079699,2642745.783,626205.5379999999
10548923,2643013.463,629115.911
10559735,2643369.295,629499.279
10558546,2646056.03,633687.152
10549264,2643236.128,627288.562
34090000,2642631.826,628273.416
10548947,2642596.013,628325.625
34085953,2644504.399,628192.526
10559182,2644630.083,633852.84
34086307,2644306.734,634038.226
34084665,2641635.323,625065.2290000001
20014992,2642579.764,628441.961
10559588,2643796.084,626556.205
10558516,2645785.327,633136.201
10558540,2645762.198,633147.066
10584630,2645869.628,628619.442
10549258,2645582.905,628873.304
10548942,2641670.69,627652.581
10548941,2641847.197,627486.003
10542098,2643026.827,625574.156
10558573,2647841.523,635151.745
34086301,2647425.684,635166.912
10548902,2638828.249,624462.742
10580818,2637925.652,623158.865
10559537,2643866.027,629164.689
10553427,2647272.861,634413.183
